Stolpec;Glava v predlogi;Kanonicna koda;Moj predlog vira;Zanesljivost;Opomba;TVOJ ODGOVOR (potrdi / popravi)
54;Grlo ANG;Attr.Grlo ANG;NW XML: attributes/attribute_light_source/light_source_value/text();gotovo;NW vrednost je koda (E14, GU10) - jezikovno nevtralna;To je pravilno za Nowodvorski. Kako bom pa to povezoval z drugimi partnerji ki bodo imeli XMLje pa druga imena?
55;Grlo SLO;Attr.Grlo SLO;NW XML: attributes/attribute_light_source/light_source_value/text();vprasanje;"ce je vrednost koda (E14), je ANG=SLO; potrdi";Ja za grlo ne bo prevajan. To mora na izvozi biti samo en stolpec. 
56;Svetilka vključuje svetlobni vir;Attr.Svetilka vključuje svetlobni vir;NW XML: attributes/attribute_lamp_includes_source_of_light/lamp_includes_source_of_light_value/text();gotovo;;Da ne rabiva prevajati lahko Yes pa No pretvoriva v Bit (0 ali 1) in potem imava samo en stolpec
57;Senzor gibanja;Attr.Senzor gibanja;NW XML: attributes/attribute_motion_sensor/motion_sensor_value/text();gotovo;;Da ne rabiva prevajati lahko Yes pa No pretvoriva v Bit (0 ali 1) in potem imava samo en stolpec
58;Frekvenca;Attr.Frekvenca;;vprasanje;"dvojnik glave Frekvenca - glej nalogo 4; par vrednost+enota je 122/123";Atribute dobivamo od dobaviteljev serpavi iz XMLjev. Zdej možnost je da kateri podatek se podavaja v SAOPju (vem samo za garancijo, ker jo rabijo za racune itd). Zdej zakaj so dve frekvence pa ne vem mi  moraš točno lokacijo povedati. 
59;Max moč sijalke;Attr.Max moč sijalke;NW XML: attributes/attribute_maximum_wattage/maximum_wattage_value/text();gotovo;;"Zdej tukaj v NW XMLju ima ta besedilo notri in ga je treba prevesti v vse jezike ""10W only LED"". "
60;Garancija;Attr.Garancija;NW XML: attributes/attribute_warranty/warranty_value/text();gotovo;;Garancijo preberemo kot atribut in tudi v SAOP ju jo potrebujemo tako da ta podatek mora iti v SAOP ko se bo pisalo. 
61;Zračni pretok;Attr.Zračni pretok;;ni vira;"v NW XML ni; verjetno drug dobavitelj (ventilatorji)";Ja nekateri atributi so od drugih dobaviteljev ta izključno je od Braytrona. 
62;Uporaba ANG;Attr.Uporaba ANG;NW XML: attributes/attribute_application/application_value/text();gotovo;;
63;Uporaba SLO;Attr.Uporaba SLO;;vprasanje;SLO prevod - iz katerega vira? glej vprasanje A;Ja sami prevedemo XMLji so v angleščini. Drugače obstaja prevajalna tabela, ki so jo naredili smo ne malo pomešana in jo je treba prej preurediti. Povej če ti jo dam. To velja za vse prevode.
64;Način montaže ANG;Attr.Način montaže ANG;NW XML: attributes/attribute_assembly_method/assembly_method_value/text();gotovo;;
